,Unnamed: 0,Timestamp,UC,SPOT,dailyInterestRate,Funding Rate,taipei_time,Hour Funding Rate,Hour Interest Rate,Perp_Spot_diff,Hour Interest Rate APY,Hour Funding Rate APY,diff_hour_int_funding_rate,diff_hour_int_funding_rate_APY
0,0,1609459200000,0.01784,0.01758,0.0004,0.00035463,2021-01-01 08:00,4.432875e-05,1.6666666666666667e-05,0.0002600000000000033,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
1,1,1609462800000,0.01809,0.01782,,,2021-01-01 09:00,4.432875e-05,1.6666666666666667e-05,0.0002699999999999994,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
2,2,1609466400000,0.018,0.01801,,,2021-01-01 10:00,4.432875e-05,1.6666666666666667e-05,-1.0000000000003062e-05,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
3,3,1609470000000,0.01817,0.01794,,,2021-01-01 11:00,4.432875e-05,1.6666666666666667e-05,0.00022999999999999757,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
4,4,1609473600000,0.01811,0.01815,,,2021-01-01 12:00,4.432875e-05,1.6666666666666667e-05,-3.999999999999837e-05,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
5,5,1609477200000,0.01804,0.01808,,,2021-01-01 13:00,4.432875e-05,1.6666666666666667e-05,-3.999999999999837e-05,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
6,6,1609480800000,0.01795,0.01798,,,2021-01-01 14:00,4.432875e-05,1.6666666666666667e-05,-2.9999999999998778e-05,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
7,7,1609484400000,0.01788,0.01791,,,2021-01-01 15:00,4.432875e-05,1.6666666666666667e-05,-2.9999999999998778e-05,0.14600000000000002,0.38831985,6.0995416666666666e-05,0.53431985
8,8,1609488000000,0.01778,0.01786,,0.00018254,2021-01-01 16:00,2.28175e-05,1.6666666666666667e-05,-8.000000000000021e-05,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
9,9,1609491600000,0.01787,0.01771,,,2021-01-01 17:00,2.28175e-05,1.6666666666666667e-05,0.00016000000000000042,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
10,10,1609495200000,0.01813,0.01781,,,2021-01-01 18:00,2.28175e-05,1.6666666666666667e-05,0.00032000000000000084,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
11,11,1609498800000,0.01827,0.01809,,,2021-01-01 19:00,2.28175e-05,1.6666666666666667e-05,0.00018000000000000307,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
12,12,1609502400000,0.01811,0.01824,,,2021-01-01 20:00,2.28175e-05,1.6666666666666667e-05,-0.00012999999999999817,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
13,13,1609506000000,0.01829,0.01806,,,2021-01-01 21:00,2.28175e-05,1.6666666666666667e-05,0.00023000000000000104,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
14,14,1609509600000,0.01864,0.01825,,,2021-01-01 22:00,2.28175e-05,1.6666666666666667e-05,0.00039000000000000146,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
15,15,1609513200000,0.01853,0.01858,,,2021-01-01 23:00,2.28175e-05,1.6666666666666667e-05,-4.999999999999796e-05,0.14600000000000002,0.19988129999999998,3.9484166666666664e-05,0.3458813
16,16,1609516800000,0.01837,0.0185,,0.00052801,2021-01-02 00:00,6.600125e-05,1.6666666666666667e-05,-0.00012999999999999817,0.14600000000000002,0.57817095,8.266791666666667e-05,0.72417095
